Mar-26,Period,Location ID,Reason,Period,Product ID,Location ID,Ship-From Loc ID,Resource ID
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 9000.000000 is too low; increase it by at least 306.316375.,05-04-2024,PPC1,LOC018,LOC001,ROAD001
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 225.499999 is too low; increase it by at least 214.100001.,05-04-2024,PPC5,CUST022,LOC017,ROAD013
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 9000.000000 is too low; increase it by at least 344.322150.,05-05-2024,PPC1,LOC018,LOC001,ROAD001
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 225.499999 is too low; increase it by at least 214.100001.,05-05-2024,PPC5,CUST022,LOC017,ROAD013
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 9000.000000 is too low; increase it by at least 417.593758.,05-06-2024,PPC1,LOC018,LOC001,ROAD001
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 6000.000000 is too low; increase it by at least 147.963902.,05-06-2024,PPC1,LOC018,LOC017,ROAD009
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 128.920000 is too low; increase it by at least 310.680000.,05-06-2024,PPC5,CUST022,LOC017,ROAD013
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 225.499999 is too low; increase it by at least 214.100001.,04/28/2024,PPC5,CUST022,LOC017,ROAD013
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 9000.000000 is too low; increase it by at least 306.316375.,04/28/2024,PPC1,LOC018,LOC001,ROAD001
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 144.685172 is too low; increase it by at least 294.914828.,04/27/2024,PPC5,CUST022,LOC017,ROAD013
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 6000.000000 is too low; increase it by at least 658.319918.,04/27/2024,PPC1,LOC018,LOC017,ROAD009
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 9000.000000 is too low; increase it by at least 202.316375.,04/27/2024,PPC1,LOC018,LOC001,ROAD001
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 113.154827 is too low; increase it by at least 326.445173.,04/26/2024,PPC5,CUST022,LOC017,ROAD013
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 6000.000000 is too low; increase it by at least 1289.344114.,04/26/2024,PPC1,LOC018,LOC017,ROAD009
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 9000.000000 is too low; increase it by at least 265.765538.,04/26/2024,PPC1,LOC018,LOC001,ROAD001
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 225.499999 is too low; increase it by at least 214.100001.,04/25/2024,PPC5,CUST022,LOC017,ROAD013
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 9000.000000 is too low; increase it by at least 333.821000.,04/25/2024,PPC1,LOC018,LOC001,ROAD001
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 128.919999 is too low; increase it by at least 310.680001.,04/24/2024,PPC5,CUST022,LOC017,ROAD013
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 6000.000000 is too low; increase it by at least 951.124866.,04/24/2024,PPC1,LOC018,LOC017,ROAD009
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 9000.000000 is too low; increase it by at least 325.815800.,04/24/2024,PPC1,LOC018,LOC001,ROAD001
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 157.823228 is too low; increase it by at least 281.776772.,04/23/2024,PPC5,CUST022,LOC017,ROAD013
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 9000.000000 is too low; increase it by at least 385.415800.,04/23/2024,PPC1,LOC018,LOC001,ROAD001
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 231.063114 is too low; increase it by at least 208.536886.,04/22/2024,PPC5,CUST022,LOC017,ROAD013
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 9000.000000 is too low; increase it by at least 274.350411.,04/22/2024,PPC1,LOC018,LOC001,ROAD001
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 9000.000000 is too low; increase it by at least 419.087773.,05-07-2024,PPC1,LOC018,LOC001,ROAD001
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 113.154827 is too low; increase it by at least 348.645173.,05/21/2024,PPC5,CUST022,LOC017,ROAD013
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 6000.000000 is too low; increase it by at least 1495.987053.,05/21/2024,PPC1,LOC018,LOC017,ROAD009
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 9000.000000 is too low; increase it by at least 258.702705.,05/21/2024,PPC1,LOC018,LOC001,ROAD001
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 157.986935 is too low; increase it by at least 364.608975.,05/20/2024,PPC5,CUST022,LOC017,ROAD013
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 9000.000000 is too low; increase it by at least 572.692506.,05/20/2024,PPC1,LOC018,LOC001,ROAD001
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 113.154827 is too low; increase it by at least 326.445173.,05/19/2024,PPC5,CUST022,LOC017,ROAD013
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 6000.000000 is too low; increase it by at least 893.788240.,05/19/2024,PPC1,LOC018,LOC017,ROAD009
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 9000.000000 is too low; increase it by at least 463.573330.,05/19/2024,PPC1,LOC018,LOC001,ROAD001
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 136.353421 is too low; increase it by at least 303.246579.,05/18/2024,PPC5,CUST022,LOC017,ROAD013
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 6000.000000 is too low; increase it by at least 181.951430.,05/18/2024,PPC1,LOC018,LOC017,ROAD009
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 9000.000000 is too low; increase it by at least 468.404521.,05/18/2024,PPC1,LOC018,LOC001,ROAD001
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 169.804827 is too low; increase it by at least 269.795173.,05/17/2024,PPC5,CUST022,LOC017,ROAD013
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 9000.000000 is too low; increase it by at least 452.682316.,05/17/2024,PPC1,LOC018,LOC001,ROAD001
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 128.920000 is too low; increase it by at least 310.680000.,05/16/2024,PPC5,CUST022,LOC017,ROAD013
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 9000.000000 is too low; increase it by at least 447.036720.,05/16/2024,PPC1,LOC018,LOC001,ROAD001
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 169.804827 is too low; increase it by at least 269.795173.,05/15/2024,PPC5,CUST022,LOC017,ROAD013
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 9000.000000 is too low; increase it by at least 547.441283.,05/15/2024,PPC1,LOC018,LOC001,ROAD001
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 177.209999 is too low; increase it by at least 262.390001.,05/14/2024,PPC5,CUST022,LOC017,ROAD013
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 9000.000000 is too low; increase it by at least 467.654266.,05/14/2024,PPC1,LOC018,LOC001,ROAD001
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 128.919999 is too low; increase it by at least 310.680001.,05/13/2024,PPC5,CUST022,LOC017,ROAD013
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 6000.000000 is too low; increase it by at least 560.114232.,05/13/2024,PPC1,LOC018,LOC017,ROAD009
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 9000.000000 is too low; increase it by at least 451.820590.,05/13/2024,PPC1,LOC018,LOC001,ROAD001
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 169.804827 is too low; increase it by at least 269.795173.,05-12-2024,PPC5,CUST022,LOC017,ROAD013
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 9000.000000 is too low; increase it by at least 534.706257.,05-12-2024,PPC1,LOC018,LOC001,ROAD001
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 258.059999 is too low; increase it by at least 205.200000.,05-11-2024,PPC5,CUST022,LOC017,ROAD013
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 9000.000000 is too low; increase it by at least 424.174469.,05-11-2024,PPC1,LOC018,LOC001,ROAD001
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 258.059999 is too low; increase it by at least 181.540001.,05-10-2024,PPC5,CUST022,LOC017,ROAD013
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 9000.000000 is too low; increase it by at least 379.276944.,05-10-2024,PPC1,LOC018,LOC001,ROAD001
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 179.545608 is too low; increase it by at least 260.054392.,05-09-2024,PPC5,CUST022,LOC017,ROAD013
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 6000.000000 is too low; increase it by at least 133.513488.,05-09-2024,PPC1,LOC018,LOC017,ROAD009
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 9000.000000 is too low; increase it by at least 451.311721.,05-09-2024,PPC1,LOC018,LOC001,ROAD001
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 225.499999 is too low; increase it by at least 214.100001.,05-08-2024,PPC5,CUST022,LOC017,ROAD013
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 9000.000000 is too low; increase it by at least 449.390119.,05-08-2024,PPC1,LOC018,LOC001,ROAD001
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 225.499999 is too low; increase it by at least 214.100001.,05-07-2024,PPC5,CUST022,LOC017,ROAD013
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 177.209999 is too low; increase it by at least 262.390001.,04/21/2024,PPC5,CUST022,LOC017,ROAD013
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 9000.000000 is too low; increase it by at least 604.766722.,04-07-2024,PPC1,LOC018,LOC001,ROAD001
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 173.503453 is too low; increase it by at least 266.096547.,04-06-2024,PPC5,CUST022,LOC017,ROAD013
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 6000.000000 is too low; increase it by at least 124.436818.,04-06-2024,PPC1,LOC018,LOC017,ROAD009
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 9000.000000 is too low; increase it by at least 741.331798.,04-06-2024,PPC1,LOC018,LOC001,ROAD001
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 171.278662 is too low; increase it by at least 268.321338.,04-05-2024,PPC5,CUST022,LOC017,ROAD013
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 6000.000000 is too low; increase it by at least 328.436818.,04-05-2024,PPC1,LOC018,LOC017,ROAD009
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 9000.000000 is too low; increase it by at least 645.741277.,04-05-2024,PPC1,LOC018,LOC001,ROAD001
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 149.622027 is too low; increase it by at least 289.977973.,04-04-2024,PPC5,CUST022,LOC017,ROAD013
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 6000.000000 is too low; increase it by at least 340.316820.,04-04-2024,PPC1,LOC018,LOC017,ROAD009
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 9000.000000 is too low; increase it by at least 620.914133.,04-04-2024,PPC1,LOC018,LOC001,ROAD001
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 113.154827 is too low; increase it by at least 326.445173.,04-03-2024,PPC5,CUST022,LOC017,ROAD013
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 6000.000000 is too low; increase it by at least 340.316818.,04-03-2024,PPC1,LOC018,LOC017,ROAD009
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 9000.000000 is too low; increase it by at least 652.737598.,04-03-2024,PPC1,LOC018,LOC001,ROAD001
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 113.154827 is too low; increase it by at least 326.445173.,04-02-2024,PPC5,CUST022,LOC017,ROAD013
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 6000.000000 is too low; increase it by at least 277.974200.,04-02-2024,PPC1,LOC018,LOC017,ROAD009
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 9000.000000 is too low; increase it by at least 722.371452.,04-02-2024,PPC1,LOC018,LOC001,ROAD001
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 113.154827 is too low; increase it by at least 326.445173.,04-01-2024,PPC5,CUST022,LOC017,ROAD013
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 6000.000000 is too low; increase it by at least 272.615150.,04-01-2024,PPC1,LOC018,LOC017,ROAD009
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 9000.000000 is too low; increase it by at least 767.701851.,04-01-2024,PPC1,LOC018,LOC001,ROAD001
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 113.154827 is too low; increase it by at least 326.445173.,03/31/2024,PPC5,CUST022,LOC017,ROAD013
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 9000.000000 is too low; increase it by at least 1043.571324.,03/31/2024,PPC1,LOC018,LOC001,ROAD001
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 128.919999 is too low; increase it by at least 310.680001.,03/30/2024,PPC5,CUST022,LOC017,ROAD013
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 9000.000000 is too low; increase it by at least 1033.927080.,03/30/2024,PPC1,LOC018,LOC001,ROAD001
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 136.545172 is too low; increase it by at least 303.054828.,03/29/2024,PPC5,CUST022,LOC017,ROAD013
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 9000.000000 is too low; increase it by at least 1138.257582.,03/29/2024,PPC1,LOC018,LOC001,ROAD001
